               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12091,            0.031333,            0.044029,                   0,                   0,                   0,                   0,             0.10736,            0.030379,            0.042743,              0.0883,              0.0013,              0.0013
                   1,             0.11035,            0.031978,            0.039853,           0.0018168,             0.32407,           0.0084414,           0.0022143,            0.095991,            0.029808,            0.034676,            0.075647,           0.0026465,           0.0026465
                   2,             0.10235,             0.03106,            0.035434,           0.0018362,             0.36111,             0.22462,             0.12739,            0.088354,            0.028546,            0.031882,            0.062938,           0.0039376,           0.0039376
                   3,            0.092811,            0.031062,            0.031523,           0.0014255,             0.33333,            0.021456,            0.005632,            0.090384,            0.027343,            0.030368,            0.050173,           0.0051733,           0.0051733
                   4,               0.091,            0.031003,            0.029564,           0.0020041,             0.36111,           0.0042102,           0.0011711,             0.08973,            0.026149,            0.028671,            0.037354,           0.0063535,           0.0063535
                   5,            0.091139,            0.031032,            0.026606,           0.0028697,             0.47222,            0.006964,           0.0024278,            0.098245,            0.020774,            0.026205,            0.024478,           0.0074783,           0.0074783
                   6,            0.089465,            0.030181,            0.025485,             0.91424,             0.27778,             0.30213,             0.14167,            0.079581,            0.024608,            0.024451,            0.011548,           0.0085476,           0.0085476
                   7,            0.082463,            0.024842,            0.023042,             0.83934,             0.27778,             0.20563,            0.037199,            0.090398,            0.021053,            0.024069,            0.008614,            0.008614,            0.008614
                   8,            0.088612,            0.031701,            0.024922,             0.83933,             0.30556,             0.21297,            0.044421,            0.088923,            0.020946,            0.021598,            0.008614,            0.008614,            0.008614
                   9,            0.079657,            0.028483,            0.021201,             0.91437,                0.25,             0.43654,             0.17383,            0.085249,            0.022839,            0.020536,            0.008416,            0.008416,            0.008416
                  10,             0.07779,            0.031116,            0.020408,             0.90594,             0.32407,              0.4415,             0.14591,            0.071343,            0.024812,            0.021223,            0.008218,            0.008218,            0.008218
